code,name,sector,price,market_cap,pe_ratio,pb_ratio,psr,dividend_yield,p_vpa,ffo_yield,vacancy_rate,payout_ratio,current_ratio,debt_to_equity,property_count
EXR,"Extra Space Storage","Self-Storage / Guarda-Volumes",134.99,29792636928,15.60,2.15,8.49,4.71,1.08,6.41,6.80,79.0,1.35,0.68,3650
CUBE,"CubeSmart","Self-Storage / Guarda-Volumes",43.20,9800000000,15.10,2.35,8.20,4.85,0.98,6.62,7.20,78.0,1.40,0.62,1420
ARE,"Alexandria Real Estate","Escritórios / Ciências da Vida",53.85,9267331072,8.90,0.59,3.26,5.40,0.65,11.24,5.80,62.0,1.60,0.65,420
BXP,"BXP Inc. (Boston Properties)","Escritórios Corporativos AAA",64.31,11632226304,9.20,1.99,3.65,4.37,0.72,10.87,11.50,60.0,1.45,0.95,190
WY,"Weyerhaeuser Co.","Florestas & Madeira",21.54,15524654080,14.50,1.65,2.27,4.00,0.95,6.90,0.00,65.0,1.65,0.48,11000000
PCH,"PotlatchDeltic Corp.","Florestas & Madeira",41.20,3300000000,16.80,1.55,2.80,3.95,0.98,5.95,0.00,68.0,1.50,0.42,2200000
EPR,"EPR Properties","Entretenimento / Teatros & Parques",46.50,3550000000,9.50,1.40,5.80,7.35,0.88,10.53,1.00,74.0,1.40,0.85,360
WPC,"W. P. Carey Inc.","Net Lease Diversificado",58.20,12750000000,12.20,1.48,7.90,6.05,0.94,8.20,1.80,78.0,1.35,0.68,1425
BHR,"Braemar Hotels & Resorts","Hotéis & Resorts Luxo",2.85,210000000,7.50,0.45,0.35,7.02,0.55,13.33,32.00,42.0,1.20,1.15,16
SLG,"SL Green Realty Corp.","Escritórios Manhattan NY",56.40,3850000000,10.40,0.95,4.20,5.32,0.75,9.62,10.80,68.0,1.30,1.25,58
VNO,"Vornado Realty Trust","Escritórios & Varejo NY",32.80,6350000000,11.20,1.15,3.80,3.85,0.82,8.93,12.40,52.0,1.35,1.10,65
OUT,"OUTFRONT Media","Mídia Out-of-Home / Painéis",15.40,2550000000,9.80,1.85,1.45,7.79,0.95,10.20,2.00,75.0,1.45,1.55,50000
LSI,"Life Storage (Extra Space)","Self-Storage",132.50,11400000000,15.80,2.10,8.30,4.60,1.05,6.33,7.00,77.0,1.35,0.65,1200
VMRK,"Vivmark Residential Common Shares of Beneficial Interest","Residencial",62.04,48856500000,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
AGNCN,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock","Mortgage / mREIT",25.80,30585421333,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
AGNCO,"AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock","Mortgage / mREIT",25.64,30396337042,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
AGNCP,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","Mortgage / mREIT",25.41,30123083568,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
AGNCM,"AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock","Mortgage / mREIT",25.39,30099373939,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
AGNCL,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock","Mortgage / mREIT",25.36,30063809496,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
AGNCZ,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock","Mortgage / mREIT",25.23,29909696908,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
NLY,"Annaly Capital Management","Mortgage / mREIT",21.20,15982514743,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
LAMR,"Lamar Advertising Company Class A","Diversificado / Outros",145.34,14759231073,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
SUI,"Sun Communities","Residencial",113.27,13796394399,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
AHR,"American Healthcare","Saúde & Hospitais",52.12,12152446698,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
AGNC,"AGNC Investment Corp.","Mortgage / mREIT",9.97,11825177434,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
ELS,"Equity Lifestyle Properties","Diversificado / Outros",59.95,11633203586,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
AMH,"American Homes 4 Rent Common Shares of Beneficial Interest","Residencial",31.12,11177679857,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
EGP,"EastGroup Properties","Diversificado / Outros",203.30,10932249779,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
JAN,"Janus Living Inc. Class A-1","Residencial",29.77,9238907855,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
CTRE,"CareTrust","Saúde & Hospitais",37.25,8801921663,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
BRX,"Brixmor Property Group","Diversificado / Outros",27.78,8524912938,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RHP,"Ryman Hospitality Properties Inc. (REIT)","Hotéis & Lazer",121.14,8356643625,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
LINE,"Lineage","Diversificado / Outros",36.49,8309138338,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
MAC,"Macerich Company (The)","Diversificado / Outros",22.66,6425455438,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
HR,"Healthcare Realty Trust Incorporated","Saúde & Hospitais",18.02,6174096476,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
RYN,"Rayonier","Diversificado / Outros",20.21,6013834951,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
EPRT,"Essential Properties Realty Trust","Diversificado / Outros",26.89,5816662443,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
STWD,"STARWOOD PROPERTY TRUST INC. Starwood Property Trust","Florestal & Madeira",14.91,5519219045,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RITM,"Rithm Capital Corp.","Mortgage / mREIT",9.50,5304866795,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
SBRA,"Sabra Health Care","Saúde & Hospitais",19.82,5064549138,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
KRG,"Kite Realty Group Trust","Diversificado / Outros",24.88,4983629958,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
PECO,"Phillips Edison & Company","Diversificado / Outros",36.74,4728438000,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CUZ,"Cousins Properties Incorporated","Escritórios Corporativos",28.56,4701034776,9.80,0.72,4.41,6.20,0.72,10.20,12.50,65.00,1.35,0.85,85
DHCNL,"Diversified Healthcare Trust 6.25% Senior Notes Due 2046","Saúde & Hospitais",18.82,4542211127,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
DHCNI,"Diversified Healthcare Trust 5.625% Senior Notes due 2042","Saúde & Hospitais",17.98,4340654280,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
REGCP,"Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock","Diversificado / Outros",22.93,4198972455,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
COLD,"Americold Realty Trust","Diversificado / Outros",14.30,4082371879,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
SKT,"Tanger","Diversificado / Outros",35.17,4040868438,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
KRC,"Kilroy Realty Corporation","Diversificado / Outros",34.24,3982419749,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
REGCO,"Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock","Diversificado / Outros",21.65,3964559843,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
GEO,"Geo Group Inc (The)","Diversificado / Outros",29.83,3926212191,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
HHH,"Howard Hughes Holdings","Diversificado / Outros",65.15,3890706053,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CDP,"COPT Defense Properties Common Shares of Beneficial Interest","Diversificado / Outros",33.99,3854821467,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
APLE,"Apple Hospitality","Hotéis & Lazer",15.81,3732467455,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
BNL,"Broadstone Net Lease","Diversificado / Outros",18.92,3630615011,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
LXP,"LXP Industrial Trust","Industrial / Logística",60.85,3587549514,18.50,1.05,8.33,3.80,1.05,5.41,3.20,75.00,1.35,0.85,250
IRT,"Independence Realty Trust","Diversificado / Outros",14.64,3451135440,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
HIW,"Highwoods Properties","Florestal & Madeira",30.18,3328489917,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
NHI,"National Health Investors","Saúde & Hospitais",67.10,3295310121,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
FRMI,"Fermi","Diversificado / Outros",4.93,3160706362,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RWTN,"Redwood Trust Inc. 9.125% Senior Notes Due 2029","Saúde & Hospitais",24.14,3119454421,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
CXW,"CoreCivic","Diversificado / Outros",31.18,3083498987,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RWTO,"Redwood Trust Inc. 9.00% Senior Notes Due 2029","Saúde & Hospitais",23.50,3036751404,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
DBRG,"DigitalBridge Group","Data Center & Telecom",15.99,2998049543,22.00,1.25,9.90,3.20,1.25,4.55,2.00,70.00,1.35,0.85,180
DX,"Dynex Capital","Mortgage / mREIT",11.89,2951945478,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
AKR,"Acadia Realty Trust","Diversificado / Outros",19.16,2631294954,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
MFAO,"MFA Financial Inc. 9.000% Senior Notes due 2029","Saúde & Hospitais",25.28,2595464787,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
MFAN,"MFA Financial Inc. 8.875% Senior Notes due 2029","Saúde & Hospitais",25.24,2591358038,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
DRH,"Diamondrock Hospitality Company","Hotéis & Lazer",12.12,2479820854,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
ARR,"ARMOUR Residential","Residencial",14.79,2470535029,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
FCPT,"Four Corners Property Trust","Diversificado / Outros",22.16,2432201957,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
IVT,"InvenTrust Properties Corp.","Diversificado / Outros",30.42,2372103871,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ADAMM,"Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","Diversificado / Outros",25.68,2308112904,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
LTC,"LTC Properties","Diversificado / Outros",42.45,2288291149,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ADAMI,"Adamas Trust Inc. 9.125% Senior Notes Due 2029","Saúde & Hospitais",25.00,2264486225,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
ADAML,"Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share","Diversificado / Outros",25.04,2250589841,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
UNIT,"Uniti Group","Diversificado / Outros",9.19,2229430365,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
PMTU,"PennyMac Mortgage Investment Trust 8.50% Senior Notes due 2028","Saúde & Hospitais",25.35,2210579877,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
ADAMN,"Adamas Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","Diversificado / Outros",24.58,2208921573,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
BXMT,"Blackstone Mortgage Trust","Mortgage / mREIT",12.85,2164942426,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
MPT,"Medical Properties Trust","Saúde & Hospitais",3.56,2123046000,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
PEB,"Pebblebrook Hotel Trust Common Shares of Beneficial Interest","Hotéis & Lazer",18.19,2052609004,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
CIMN,"Chimera Investment Corporation 9.000% Senior Notes due 2029","Saúde & Hospitais",25.14,2024541697,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
GNL,"Global Net Lease","Diversificado / Outros",8.69,2010152177,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
DHC,"Diversified Healthcare Trust Common Shares of Beneficial Interest","Saúde & Hospitais",8.00,1937031904,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
NTST,"NetSTREIT Corp.","Diversificado / Outros",18.29,1856947083,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
NHPBP,"National Healthcare Properties Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock","Saúde & Hospitais",25.36,1849232180,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
SMA,"SmartStop Self Storage","Self-Storage",31.95,1769036451,16.50,1.10,7.42,4.30,1.10,6.06,7.00,75.00,1.35,0.85,850
DEI,"Douglas Emmett","Diversificado / Outros",10.13,1695788328,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RLJ,"RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value","Hotéis & Lazer",10.84,1650992573,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
CBL,"CBL & Associates Properties","Diversificado / Outros",52.99,1639656693,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ADAMZ,"Adamas Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share","Diversificado / Outros",18.15,1631318116,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
AAT,"American Assets Trust","Diversificado / Outros",21.77,1336462696,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
UMH,"UMH Properties","Diversificado / Outros",15.59,1331161504,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ALX,"Alexander's","Diversificado / Outros",247.01,1261551703,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ORC,"Orchid Island Capital","Mortgage / mREIT",6.04,1204606748,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
NHP,"National Healthcare Properties Inc. Class A","Saúde & Hospitais",16.26,1185433284,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
SCCG,"Sachem Capital Corp. 8.00% Notes due 2027","Mortgage / mREIT",24.85,1176455857,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
LADR,"Ladder Capital Corp Class A","Mortgage / mREIT",9.27,1175407032,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
SCCD,"Sachem Capital Corp. 6.00% Notes due 2026","Mortgage / mREIT",24.76,1172195051,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
SCCE,"Sachem Capital Corp. 6.00% Notes due 2027","Mortgage / mREIT",24.66,1167669128,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
SCCF,"Sachem Capital Corp. 7.125% Notes due 2027","Mortgage / mREIT",24.66,1167224111,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
DEA,"Easterly Government Properties","Diversificado / Outros",22.95,1086031110,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RNP,"Cohen & Steers","Diversificado / Outros",19.31,948876734,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CSR,"D/B/A Centerspace","Diversificado / Outros",55.41,930563907,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
SAFE,"Safehold Inc. New","Diversificado / Outros",13.04,923798373,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CIM,"Chimera Investment Corporation","Diversificado / Outros",10.93,914970171,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
LANDP,"Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock","Diversificado / Outros",19.90,858417803,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
LANDO,"Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock","Diversificado / Outros",19.86,856692340,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
SVC,"Service Properties Trust Common Shares of Beneficial Interest","Diversificado / Outros",6.55,848934694,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
MFA,"MFA Financial","Diversificado / Outros",8.39,848127800,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ABR,"Arbor Realty Trust","Diversificado / Outros",4.34,809661907,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ARI,"Apollo Commercial Real Estate Finance","Mortgage / mREIT",6.31,809018307,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
JBGS,"JBG SMITH Properties Common Shares","Diversificado / Outros",10.63,793567194,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ADAM,"Adamas Trust","Diversificado / Outros",8.56,769820367,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
PMT,"PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest","Mortgage / mREIT",8.79,766072750,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
CTO,"CTO Realty Growth","Diversificado / Outros",20.27,760017580,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
MITP,"TPG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029","Saúde & Hospitais",25.44,750204186,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
MITN,"TPG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029","Saúde & Hospitais",25.42,749841422,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
BFS,"Saul Centers","Diversificado / Outros",29.93,739782833,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
PSTL,"Postal Realty Trust Inc. Class A","Diversificado / Outros",23.68,716293313,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
IVR,"INVESCO MORTGAGE CAPITAL","Mortgage / mREIT",6.53,702353721,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
ESRT,"Empire State Realty Trust Inc. Class A","Diversificado / Outros",4.05,698131682,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
FBRT,"Franklin BSP Realty Trust","Diversificado / Outros",7.66,636127887,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CLDT,"Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest","Hotéis & Lazer",13.16,612803480,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
INN,"Summit Hotel Properties","Hotéis & Lazer",5.63,607754264,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
NXRT,"NexPoint Residential Trust","Residencial",21.34,545360758,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
TRTX,"TPG RE Finance Trust","Mortgage / mREIT",7.08,543140739,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
UHT,"Universal Health Realty Income Trust","Saúde & Hospitais",38.45,534404400,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
BRSP,"BrightSpire Capital Inc. Class A","Mortgage / mREIT",4.16,525707968,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
BDN,"Brandywine Realty Trust","Diversificado / Outros",2.90,507145886,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
